policy_id,driver_age,gender,driving_experience,vehicle_make,vehicle_model,vehicle_type,vehicle_age,engine_capacity,vehicle_value,county,annual_mileage,previous_claims,claim_amount_history,no_claim_bonus,policy_type,accident_risk_index,theft_risk_index,driver_risk_score,premium_amount
1,56,Male,35,Isuzu,Dmax,SUV,14,1300,4604572,Uasin Gishu,16284,0,0,1,Comprehensive,0.28,0.57,29.3,80468.58
2,70,Male,49,Toyota,Axio,Hatchback,7,3000,4823669,Embu,5769,2,226710,0,Comprehensive,0.35,0.44,51.8,102105.04
3,39,Female,10,Subaru,Impreza,Sedan,16,1300,6413790,Uasin Gishu,23431,0,0,1,Third Party,0.39,0.27,35.1,108756.85
4,68,Male,39,Mazda,Demio,SUV,19,3000,8542680,Mombasa,16394,2,194626,0,Third Party,0.96,0.97,81.7,173340.2
5,67,Female,40,Mitsubishi,Outlander,SUV,8,1200,368148,Kericho,59638,3,137760,1,Third Party,0.41,0.73,75.9,37972.22
6,19,Male,0,Subaru,Impreza,Pickup,9,1500,5714709,Meru,14692,6,608322,0,Third Party,0.24,0.46,134.4,139920.64
7,33,Female,14,Mitsubishi,Outlander,Hatchback,14,1800,3794679,Kajiado,17185,2,96088,0,Comprehensive,0.84,0.26,81.4,92720.18
8,24,Female,0,Mazda,Demio,Hatchback,0,1500,2530919,Mombasa,53190,4,147416,0,Comprehensive,0.72,0.93,125.7,92063.79
9,26,Male,1,Mitsubishi,Pajero,SUV,11,1200,7430144,Machakos,28599,1,133684,0,Comprehensive,0.78,0.71,77.1,146152.16
10,44,Male,24,Honda,Fit,Pickup,0,1300,5701218,Uasin Gishu,57992,1,120989,0,Comprehensive,0.6,0.62,60.9,114318.27
11,32,Male,5,Subaru,Impreza,SUV,9,1500,1069598,Bungoma,55015,1,120687,0,Comprehensive,0.76,0.31,65.5,46043.97
12,56,Male,28,Toyota,Corolla,Sedan,3,1800,5493542,Embu,14914,3,358668,1,Third Party,0.9,0.84,98.3,124503.13
13,61,Male,40,Nissan,Navara,Sedan,10,3000,4570070,Embu,20707,2,415828,1,Comprehensive,0.54,0.85,70.2,101151.05
14,58,Female,38,Nissan,Xtrail,Sedan,6,2000,2254109,Kiambu,8748,1,207271,1,Comprehensive,0.95,0.46,61.2,62861.64
15,49,Male,24,Mitsubishi,Outlander,SUV,8,1500,1796176,Kakamega,56005,2,461092,1,Third Party,0.44,0.43,64.8,52442.64
16,34,Female,6,Honda,CRV,Pickup,16,1200,4082875,Kisumu,51645,0,0,1,Third Party,0.93,0.39,56.2,83493.12
